@relation PresenceOfPecans
@attribute Site numeric
@attribute LATITUDE numeric
@attribute ELEV numeric
@attribute COKLM numeric
@attribute MWM numeric
@attribute MCM numeric
@attribute RHIGH numeric
@attribute RLOW numeric
@attribute RRCORR numeric
@attribute CMAT numeric
@attribute CRR numeric
@attribute RRCORR2 numeric
@attribute SEASON {1,2,3,4}
@attribute RRCORR3 numeric
@attribute ET numeric
@attribute BT numeric
@attribute PET numeric
@attribute AE numeric
@attribute RUNOFF numeric
@attribute BIO5 numeric
@attribute BAR5 numeric
@attribute NAGP numeric
@attribute TEMP numeric
@attribute WATD numeric
@attribute MI numeric
@attribute HIRX numeric
@attribute SNOWAC numeric
@attribute RRANGE numeric
@attribute TRANGE numeric
@attribute REVEN numeric
@attribute MRAIN numeric
@attribute MTEMP numeric
@attribute SDTEMP numeric
@attribute SDRAIN numeric
@attribute CVTEMP numeric
@attribute CVRAIN numeric
@attribute WSTORAGE numeric
@attribute PTOAE numeric
@attribute PTOWATD numeric
@attribute PTORUN numeric
@attribute PTOWATR numeric
@attribute PGROW numeric
@attribute GROWC numeric
@attribute WLTGRC numeric
@attribute WATDGRC numeric
@attribute RUNGRC numeric
@attribute WATRGRC numeric
@attribute WRET numeric
@attribute PERWLTG numeric
@attribute PERWDEF numeric
@attribute PERWRET numeric
@attribute DEFPER numeric
@attribute AVWAT numeric
@attribute CLIM numeric
@attribute CLASS {D, W}
@attribute MEDSTAB numeric
@attribute SUCSTAB numeric
@attribute SUCSTAB2 numeric
@attribute WACCESS numeric
@attribute LLAT numeric
@attribute LBIO5 numeric
@attribute LNAGP numeric
@attribute LMEANELV numeric
@attribute LET numeric
@attribute LPET numeric
@attribute LAE numeric
@attribute LBT numeric
@attribute LTRANGE numeric
@attribute LCMAT numeric
@attribute LMCM numeric
@attribute LMWM numeric
@attribute LMTEMP numeric
@attribute LCVTEMP numeric
@attribute LCRR numeric
@attribute LREVEN numeric
@attribute LRRCORR2 numeric
@attribute LRRCORR3 numeric
@attribute LRRANGE numeric
@attribute LDEFPER numeric
@attribute LPERWDEF numeric
@attribute LPTOAE numeric
@attribute LRUNOFF numeric
@attribute LRHIGH numeric
@attribute LRLOW numeric
@attribute LCOKLM numeric
@attribute LPERWLTG numeric
@attribute LSNOWAC numeric
@attribute LWACCESS numeric
@attribute LPTORUN numeric
@attribute LRUNGRC numeric
@attribute LWRET numeric
@attribute LWLTGRC numeric
@attribute LBAR5 numeric
@attribute LMRAIN numeric
@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric
@attribute Pecans {0,1}
@data
232,7.17,548,906,29.22,24.78,146.05,9.91,3,27.2778,1075.944,7.5,3,4.5,22.3572,27.2778,1693.0883,1149.5536,95.8157,7380.4597,2.8029,2633.1677,54.3439,543.5348,-36.4508,1.5736,0,136.14,4.44,1.6289,6.7853,94.0178,1.5109,55.7812,5.5389,62.2128,174.52,1.4728,3.115,17.6703,82.0828,8,12,3,8,4,5,20.6266,0.25,0.6667,0.4167,66.6667,4,6,D,0.3875,8.274,8.274,0.77,0.8561,3.8681,3.4205,2.7388,1.3494,3.2287,3.0605,1.4358,0.6474,1.7943,1.8738,1.4657,1.9913,3.4779,3.0318,0.2119,-3,1.0212,2.134,1.824,-0.1696,0.1711,1.9815,2.1645,0.9961,2.9571,-0.585,-2,-0.1079,1.2475,0.6031,1.3146,0.4786,0.4476,0.8316,2.7352,1.7939,0.4949,1.9143,0.6998,0.1969,0.9182,1289.8908,3.1106,0
233,11.13,951,500,32,24.61,298.96,0,4,27.3056,1042.162,8.5,3,4.5,21.4368,27.3056,1670.8651,804.809,286.2564,7260.3521,4.9832,1456.9683,50.0824,866.0561,-37.6274,1.6033,0,298.96,7.39,3.4424,0,90.4026,2.3345,102.5921,8.5495,118.1299,196.84,2.0761,1.9293,5.837,58.5344,11,12,6,8,4,3,28.545,0.5,0.6667,0.25,66.6667,3,6,D,1.6303,32.668,32.668,0.52,1.0469,3.861,3.1635,2.9782,1.3312,3.2229,2.9057,1.4363,0.8686,1.7945,1.8728,1.5051,1.975,3.4784,3.0179,0.5369,-3,1.0212,2.4756,1.824,-0.1696,0.3193,2.4568,2.4756,-2,2.699,-0.2924,-2,-0.2757,0.7669,0.6031,1.4557,0.7789,0.6975,-2,2.9376,2.0724,0.2876,1.7675,0.4786,0.205,1.5143,1656.4737,3.2192,0
234,4.42,13,18,26.89,24.22,531.11,51.05,2,25.8194,2326.386,6.5,3,4.5,22.6666,25.8194,1517.0859,1392.7379,764.246,32381.228,8.9427,3620.9556,58.7698,124.348,53.3457,0.6521,0,480.06,2.67,2.7396,9.6119,96.286,0.8675,149.054,3.36,76.8853,108.75,1.0893,12.2003,1.9851,25.3556,21,12,0,3,9,8,59.8324,0.001,0.25,0.6667,25,7,7,W,0.2487,0.0389,0.0389,1.019,0.6464,4.5103,3.5588,1.1143,1.3554,3.181,3.1439,1.4119,0.4265,1.784,1.8705,1.4296,2.0012,3.4776,3.3667,0.4377,-3,1.0212,2.6813,1.3981,-0.585,0.0411,2.8832,2.7252,1.708,1.2555,-1.9586,-2,0.0124,0.3,0.9547,1.777,-2,0.9515,0.9828,2.0947,1.8858,1.0867,1.4042,0.9036,-0.1857,-1.3107,240.4087,2.381,0
235,14.2,686,883,34.39,25,192.02,0,3,29.6019,500.126,7.5,3,4.5,21.2204,29.6019,1896.6443,500.126,33.8851,1599.4683,2.4183,661.4117,46.5392,1396.5183,-73.631,3.7923,0,192.02,9.39,4.6073,0,88.1723,2.9443,63.3927,9.9463,152.1042,68.95,3.7923,1.3581,55.9728,671.6638,5,12,9,11,1,1,2.8238,0.75,0.9167,0.0833,91.6667,2,6,D,1.6031,92.7714,92.7714,0.27,1.1526,3.204,2.8205,2.8363,1.3268,3.278,2.6991,1.4713,0.9727,1.8102,1.8751,1.5364,1.9646,3.4786,2.6991,0.6634,-3,1.0212,2.2833,1.9623,-0.0331,0.58,1.5301,2.2833,-2,2.946,-0.1192,-2,-0.5528,1.7481,0.0043,0.4524,0.9547,0.3835,-2,3.145,2.1821,0.1361,2.8272,0.0043,0.5789,1.9675,353.7343,2.5487,0
236,16.25,1607,922,26.39,20.78,175.01,28.96,2.5,24.2917,1128.014,7,3,4.5,19.6327,24.2917,1322.3651,1126.3368,90.2289,12799.663,5.0284,2545.4779,61.5995,196.0283,-14.6972,1.1723,0,146.05,5.61,1.8618,16.5476,92.1418,2.1517,54.0474,8.8577,57.4966,174.52,1.174,6.7458,14.6557,37.0647,14,12,0,7,5,8,35.6772,0.001,0.5833,0.6667,58.3333,7,6,W,0.2582,0.0285,0.0285,1.019,1.2111,4.1072,3.4058,3.206,1.293,3.1214,3.0517,1.3855,0.749,1.773,1.8499,1.4214,1.9829,3.4784,3.0523,0.2699,-3,1.0212,2.1645,1.766,-0.2267,0.0734,1.9554,2.2431,1.4618,2.9647,-1.9586,-2,0.0124,1.1663,0.6998,1.5525,-2,0.7014,1.2187,2.2923,1.7596,0.8297,1.5691,0.9036,0.069,-1.4145,1171.085,3.0686,0
237,16.5,11998,316,12.22,8.11,119.89,3.05,2,10.4444,557.784,6.5,3,4.5,11.4679,10.4444,613.4978,512.1734,194.5448,9847.1906,14.3113,688.0694,79.2186,101.3244,-9.0813,1.0999,0,116.84,4.11,2.5793,2.544,92.8172,1.3373,39.5021,12.8041,84.9837,153.7366,1.1978,6.0548,3.1535,13.3465,16,12,1,7,5,7,45.967,0.0833,0.5833,0.5833,58.3333,7,2,W,0.1222,1.5952,1.5952,0.9367,1.2177,3.9933,2.8376,4.0791,1.0595,2.7878,2.7094,1.0189,0.6138,1.6575,1.7643,1.0871,1.986,3.479,2.7465,0.4115,-3,1.0212,2.0676,1.766,-0.2267,0.082,2.289,2.0788,0.4843,2.4997,-1.0301,-2,-0.0238,0.5002,0.6998,1.6625,0.0043,1.1557,0.4055,2.0058,1.9293,0.7828,1.1257,0.8457,0.0414,0.2055,3739.0626,3.5728,0
238,13.35,770,877,28.28,25.11,208.03,7.11,3.5,26.9028,1297.94,8,3,4.5,23.0945,26.9028,1670.5647,1320.4419,208.119,13301.3595,4.0133,3314.3169,55.7095,350.1228,-22.3053,1.2871,0,200.92,3.17,1.9233,3.4178,95.6741,1.1184,77.5703,4.1574,71.717,373.93,1.2652,4.7714,8.027,20.209,15,12,2,8,4,7,82.6645,0.1667,0.6667,0.5833,66.6667,6,7,W,0.6868,6.3287,6.3287,0.8533,1.1258,4.1239,3.5204,2.8865,1.3635,3.2229,3.1207,1.4298,0.5011,1.7917,1.8757,1.4515,1.9986,3.4777,3.1133,0.284,-3,1.0212,2.303,1.824,-0.1696,0.1056,2.3183,2.3181,0.8519,2.943,-0.7528,-2,-0.0638,0.9051,0.6031,1.9174,0.3032,0.6035,0.5337,2.5442,1.8556,0.6796,1.3058,0.8457,0.1096,0.802,2761.4399,3.4411,0
239,19.75,11217,491,14.28,8.39,88.9,0,2,12.1482,458.47,6.5,3,4.5,12.464,12.1482,653.5384,458.47,60.0652,5902.7636,10.3105,572.5008,77.8947,195.0684,-29.848,1.4255,0,88.9,5.89,2.3269,0,90.0641,2.0996,36.807,17.283,96.3388,143.03,1.4255,3.3503,10.8805,29.643,11,12,4,7,5,8,22.047,0.3333,0.5833,0.6667,58.3333,4,2,D,0.1419,7.5026,7.5026,0.6867,1.2958,3.7711,2.7578,4.0499,1.0957,2.8153,2.6613,1.0845,0.7701,1.6735,1.7663,1.1547,1.9734,3.4796,2.6613,0.3668,-3,1.0212,1.9489,1.766,-0.2267,0.157,1.7787,1.9489,-2,2.6911,-0.4643,-2,-0.157,1.037,0.6998,1.3435,0.6031,1.0133,-2,2.2902,1.9838,0.5264,1.4721,0.9036,0.154,0.8758,3786.7966,3.5783,0
240,21.67,3004,643,25.5,13.78,201.93,0.51,0.1,20.5,881.634,4.6,2,4.5,16.2873,20.5,1002.9533,764.8396,201.1616,11501.1147,8.5904,1338.8342,62.8196,238.1138,-12.0962,1.1376,0,201.42,11.72,2.7485,0.2526,83.3759,3.8579,64.7642,18.8189,88.1511,94.1372,1.3113,4.2121,4.9858,32.1829,16,12,2,7,5,6,31.1642,0.1667,0.5833,0.5,58.3333,6,4,W,0.0005,5.4579,5.4579,0.8533,1.3361,4.0607,3.1267,3.4777,1.2118,3.0013,2.8836,1.3118,1.0689,1.7443,1.8047,1.4065,1.9414,3.4798,2.9453,0.4391,-3,1.0212,2.3041,1.766,-0.2267,0.121,2.3036,2.3052,-0.2924,2.8082,-0.7528,-2,-0.0638,0.6986,0.6998,1.4938,0.3032,0.934,-0.5976,2.3768,1.9452,0.6255,1.5078,0.7789,0.056,0.7378,865.3315,2.9372,0
241,17.78,1433,790,27.28,20.22,175.01,29.97,1,24.6713,1128.268,5.5,2,4.5,19.1808,24.6713,1379.232,1245.0234,156.873,12447.9559,4.141,3006.0394,59.9299,134.2086,-18.1959,1.2224,0,145.04,7.06,1.8614,17.1247,90.2324,2.6059,42.6409,10.5627,45.3519,182.1088,1.1078,10.2768,8.792,32.2088,13,12,0,6,6,8,42.8216,0.001,0.5,0.6667,50,7,6,W,0.0394,0.0272,0.0272,1.019,1.2502,4.0951,3.478,3.1562,1.2829,3.1396,3.0952,1.3922,0.8488,1.7758,1.8465,1.4358,1.9742,3.4786,3.0524,0.2698,-3,1.0212,2.1615,1.6991,-0.2924,0.0484,2.1956,2.2431,1.4767,2.8976,-1.9586,-2,0.0124,0.9446,0.7789,1.6318,-2,0.6171,1.2336,2.1278,1.6566,1.0123,1.5081,0.9036,0.0872,-1.4295,958.3948,2.9815,0
242,15,288,827,27.61,22.06,241.05,34.54,2,25.6025,1466.611,6.5,3,4.5,20.3971,25.6025,1487.5548,1385.1805,301.436,18304.2681,5.101,3588.3977,58.6256,102.3743,-1.4079,1.0143,0,206.51,5.55,1.9723,14.329,92.3564,2.0637,65.767,8.0606,53.8114,196.84,1.0739,14.5305,4.9349,17.6038,17,12,0,3,9,8,84.5021,0.001,0.25,0.6667,25,7,6,W,0.1709,0.0286,0.0286,1.019,1.1764,4.2626,3.5549,2.4594,1.3096,3.1725,3.1415,1.4083,0.7443,1.7825,1.8577,1.4411,1.9839,3.4783,3.1663,0.295,-3,1.0212,2.3149,1.3981,-0.585,0.035,2.4792,2.3821,1.5383,2.9175,-1.9586,-2,0.0124,0.6942,0.9547,1.9269,-2,0.7077,1.1562,2.0102,1.7309,1.1626,1.2459,0.9036,0.0062,-1.4134,325.0924,2.512,0
243,14.75,774,744,28,23.72,307.09,39.12,2,26.5324,1803.4,6.5,3,4.5,21.7285,26.5324,1611.5329,1547.2398,484.1405,23403.5432,5.4277,4311.87,57.0547,64.2931,11.9059,0.8936,0,267.97,4.28,2.0434,12.7389,94.137,1.5484,89.7899,5.8359,59.747,306.1306,1.0416,25.0654,3.3286,10.6619,19,12,0,3,9,10,151.1484,0.001,0.25,0.8333,25,7,6,W,0.184,0.0303,0.0303,1.019,1.1691,4.3693,3.6347,2.8887,1.337,3.2072,3.1896,1.4238,0.6314,1.7891,1.8676,1.4472,1.9918,3.478,3.2561,0.3104,-3,1.0212,2.4281,1.3981,-0.585,0.0219,2.685,2.4873,1.5924,2.8716,-1.9586,-2,0.0124,0.5236,0.9547,2.1794,-2,0.7346,1.1051,1.8082,1.7763,1.3992,1.0282,1.0004,-0.0489,-1.3947,250.8098,2.3993,0
244,23.86,3985,770,25.5,10.72,77.5,0,1,18.5417,281.502,5.5,2,4.5,15.4434,18.5417,915.996,281.502,0,909.8207,3.5712,254.7647,60.5433,634.4941,-69.2682,3.254,0,77.5,14.78,3.3037,0,79.0355,5.3255,25.1801,28.7219,107.3389,68.95,3.254,1.4437,915.996,915.996,2,12,9,12,0,0,0,0.75,1,0,100,2,4,D,0.0984,46.9619,46.9619,0.27,1.3779,2.959,2.4061,3.6004,1.1887,2.9619,2.4495,1.2681,1.1697,1.7287,1.7833,1.4065,1.9193,3.4813,2.4495,0.519,-3,1.0212,1.8893,2,0.0043,0.5138,-2,1.8893,-2,2.8865,-0.1192,-2,-0.5528,2.9619,-2,-2,0.9547,0.5528,-2,2.8024,2.0308,0.1625,2.9619,-2,0.5124,1.6718,104.2189,2.018,0
245,20,1078,763,24.22,14.78,90.6,0,4,20.6,405.602,8.5,3,4.5,16.5229,20.6,998.4986,457.3191,2.5817,2081.679,3.6513,570.1171,66.2718,541.1796,-59.3788,2.4618,0,90.6,9.44,2.6805,0,86.3623,3.4474,36.7656,16.7352,108.7734,196.84,2.1834,1.845,386.7601,207.2305,4,12,8,10,2,3,4.8183,0.6667,0.8333,0.25,83.3333,3,4,D,1.2384,32.3004,32.3004,0.3533,1.3012,3.3184,2.756,3.0326,1.2181,2.9993,2.6602,1.3139,0.975,1.7451,1.8114,1.3842,1.956,3.4795,2.6081,0.4282,-3,1.0212,1.9571,1.9209,-0.074,0.3411,0.4136,1.9571,-2,2.8825,-0.1696,-2,-0.4397,2.5875,0.3032,0.6838,0.9036,0.5624,-2,2.7333,2.0365,0.2683,2.3165,0.4786,0.3913,1.5093,1793.5046,3.2537,0
246,22.88,3345,886,23.78,12.65,66,0,2,19.3167,354.202,6.5,3,4.5,15.7627,19.3167,942.0677,354.202,0,2008.0867,5.383,373.0411,65.7816,587.8657,-62.4016,2.6597,0,66,11.13,2.236,0,83.818,4.4162,27.1992,22.8622,92.1481,68.95,2.6597,1.6025,942.0677,942.0677,6,12,6,12,0,0,0,0.5,1,0,100,2,4,D,0.2461,19.6796,19.6796,0.52,1.3596,3.3028,2.5718,3.5244,1.1976,2.9741,2.5493,1.2859,1.0465,1.7349,1.7969,1.3762,1.9436,3.4804,2.5493,0.3495,-3,1.0212,1.8195,2,0.0043,0.4265,-2,1.8195,-2,2.9474,-0.2924,-2,-0.2757,2.9741,-2,-2,0.7789,0.731,-2,2.7693,1.9645,0.2075,2.9741,-2,0.4248,1.2942,129.8001,2.1133,0
247,25.22,3909,701,24.22,10.61,101.09,2.03,-1,18.4306,584.962,3.5,2,4.5,15.2648,18.4306,911.547,584.962,0,5379.2144,6.2703,857.8906,62.9052,326.5849,-35.8276,1.5583,0,99.06,13.61,2.0738,2.0081,80.3381,5.1361,38.4365,27.8672,78.8492,68.95,1.5583,2.7911,911.547,911.547,9,12,3,12,0,0,0,0.25,1,0,100,4,4,D,0.0407,6.6598,6.6598,0.77,1.4019,3.7307,2.9334,3.5921,1.1837,2.9598,2.7671,1.2655,1.1339,1.7278,1.7825,1.3842,1.926,3.4811,2.7671,0.3168,-3,1.0212,1.9959,2,0.0043,0.1954,-2,2.0047,0.3075,2.8457,-0.585,-2,-0.1079,2.9598,-2,-2,0.4786,0.7973,0.3028,2.514,1.8968,0.4473,2.9598,-2,0.1927,0.8241,297.4591,2.4734,0
248,24.43,3450,728,24.89,12.28,91.95,2.03,-1,19.7454,505.46,3.5,2,4.5,15.779,19.7454,979.7938,505.46,0,3314.357,4.9236,673.1628,63.0717,474.3338,-48.4116,1.9384,0,89.92,12.61,2.183,2.2077,81.9574,4.7234,35.8743,23.9216,85.1682,68.95,1.9384,2.0656,979.7938,979.7938,6,12,6,12,0,0,0,0.5,1,0,100,3,4,D,0.0501,16.1168,16.1168,0.52,1.3881,3.5204,2.8281,3.5378,1.1981,2.9911,2.7037,1.2955,1.1007,1.7383,1.7943,1.396,1.9343,3.4806,2.7037,0.3391,-3,1.0212,1.9539,2,0.0043,0.2897,-2,1.9636,0.3075,2.8621,-0.2924,-2,-0.2757,2.9911,-2,-2,0.7789,0.6923,0.3439,2.6761,1.9303,0.3171,2.9911,-2,0.2874,1.2075,243.5836,2.3866,0
249,21.64,3760,736,25.66,12.98,82.9,0.5,1,20.4425,385.6,5.5,2,4.5,16.058,20.4425,1024.2285,385.6,0,2110.8122,4.9143,429.524,61.9854,638.6285,-62.3522,2.6562,0,82.4,12.68,2.5799,0.6031,82.0549,4.7489,30.3621,23.2306,94.4879,68.95,2.6562,1.6038,1024.2285,1024.2285,6,12,6,12,0,0,0,0.5,1,0,100,2,4,D,0.0721,22.5853,22.5853,0.52,1.3355,3.3244,2.633,3.5752,1.2057,3.0104,2.5861,1.3105,1.1031,1.7438,1.7992,1.4093,1.9348,3.4805,2.5861,0.4116,-3,1.0212,1.9159,2,0.0043,0.4259,-2,1.9186,-0.301,2.8669,-0.2924,-2,-0.2757,3.0104,-2,-2,0.7789,0.6915,-0.2196,2.8053,1.9754,0.2078,3.0104,-2,0.4243,1.354,164.5568,2.2163,0
250,26.05,3148,754,26.5,11.39,50.04,1.02,1,19.7083,281.432,5.5,2,4.5,15.7115,19.7083,1004.3974,281.432,0,956.6604,3.7566,254.6596,59.2161,722.9654,-71.98,3.5689,0,49.02,15.11,2.1337,2.0384,78.8671,5.6026,17.8121,28.4275,75.949,68.95,3.5689,1.3893,1004.3974,1004.3974,3,12,8,12,0,0,0,0.6667,1,0,100,2,4,D,0.0646,27.9094,27.9094,0.3533,1.416,2.9808,2.406,3.498,1.1962,3.0019,2.4494,1.2946,1.1793,1.7381,1.7881,1.4232,1.9184,3.4812,2.4494,0.3291,-3,1.0212,1.6904,2,0.0043,0.5537,-2,1.6993,0.0086,2.8774,-0.1696,-2,-0.4397,3.0019,-2,-2,0.9036,0.5748,0.3093,2.8591,1.8805,0.1459,3.0019,-2,0.5525,1.4459,90.2384,1.9554,0
251,29.77,341,415,24.72,12.89,191.01,107.95,-3,18.6389,1610.106,1.5,1,4.5,15.9384,18.6389,912.5216,905.5555,656.8277,40555.0268,22.8858,1772.0624,63.9055,6.9661,76.4458,0.5667,0,83.06,11.83,1.4236,56.5154,83.0321,4.3623,24.9612,23.4041,18.6034,195.92,1.0077,130.9946,1.3893,5.8399,28,12,0,1,11,12,156.2569,0.001,0.0833,1,8.3333,8,4,W,0.1165,0.012,0.012,1.019,1.4739,4.608,3.2485,2.5328,1.2024,2.9602,2.9569,1.2704,1.073,1.7295,1.7986,1.393,1.9397,3.4805,3.2069,0.1534,-3,1.0212,1.9194,0.9213,-1.0301,0.0076,2.8175,2.2811,2.0332,2.6181,-1.9586,-2,0.0124,0.1459,1.0418,2.1939,-2,1.3596,1.7522,0.8436,1.2696,2.1173,0.7671,1.0795,-0.2466,-1.6576,367.8864,2.5657,0
252,7.33,459,1111,25.78,24.39,435.1,10.92,6,25.2963,2718.562,10.5,4,4.5,23.4438,25.2963,1428.5248,1425.753,1457.1467,52656.3294,13.9874,3764.554,60.7515,2.7719,90.3055,0.5255,0,424.18,1.39,1.9206,2.5098,98.0362,0.3725,154.3529,1.4728,68.1329,373.93,1.0019,515.3594,0.9804,5.7224,23,12,0,1,11,12,249.6393,0.001,0.0833,1,8.3333,8,7,W,1.4341,0.027,0.027,1.019,0.8657,4.7215,3.5757,2.6618,1.37,3.1549,3.154,1.4031,0.143,1.7803,1.8715,1.4113,2.0088,3.4773,3.4343,0.2834,-3,1.0212,2.6276,0.9213,-1.0301,0.0051,3.1635,2.6386,1.0382,3.0457,-1.9586,-2,0.0124,-0.0042,1.0418,2.3973,-2,1.1457,0.3996,0.4443,1.8334,2.7121,0.7583,1.0795,-0.2794,-1.4318,179.6063,2.2543,0
253,0.98,131,1384,26.61,25.39,272.03,104.9,5,26.0324,2002.028,9.5,4,4.5,24.4097,26.0324,1560.0206,1555.3634,434.2703,30832.7364,7.0888,4349.5158,58.4137,4.6572,28.3334,0.7792,0,167.13,1.22,1.6305,38.5619,98.2963,0.396,58.2755,1.5212,34.9299,373.93,1.003,334.9696,3.5923,6.1643,24,12,0,2,10,12,253.0737,0.001,0.1667,1,16.6667,8,7,W,0.9425,0.029,0.029,1.019,-0.0044,4.489,3.6384,2.1173,1.3876,3.1931,3.1918,1.4155,0.0864,1.7856,1.8773,1.425,2.0099,3.4773,3.3015,0.2123,-3,1.0212,2.2231,1.2221,-0.7528,0.0056,2.6378,2.4346,2.0208,3.1411,-1.9586,-2,0.0124,0.5566,1.0004,2.4033,-2,0.8506,1.5862,0.6691,1.5432,2.525,0.7906,1.0795,-0.1084,-1.4089,198.8894,2.2986,0
254,8.82,59,10,24.89,22.28,385.06,55.12,3.5,23.7963,2316.48,8,3,4.5,21.2251,23.7963,1225.5814,1187.7881,1213.9939,48185.4904,17.332,2780.1402,64.1091,37.7933,89.0107,0.5291,0,329.94,2.61,1.9947,14.3147,96.2656,0.9432,118.0236,3.9637,61.1395,174.52,1.0318,32.4285,1.0095,11.4102,28,12,0,2,10,10,107.411,0.001,0.1667,0.8333,16.6667,7,6,W,0.4585,0.0249,0.0249,1.019,0.946,4.6829,3.4441,1.7709,1.3268,3.0883,3.0747,1.3765,0.4166,1.7693,1.859,1.396,2.0012,3.4777,3.3648,0.2999,-3,1.0212,2.5184,1.2221,-0.7528,0.0178,3.0842,2.5855,1.7413,1.0004,-1.9586,-2,0.0124,0.0084,1.0004,2.0311,-2,1.2388,1.1558,1.5775,1.7863,1.5111,1.0577,1.0004,-0.2765,-1.4572,322.8837,2.509,0
255,16.52,997,1200,25.42,22.5,307.09,19.56,5,24.2733,1721.347,9.5,4,4.5,21.2967,24.2733,1291.2288,1152.3305,553.8821,26175.8159,9.9011,2643.735,62.8218,138.8983,33.3108,0.7501,0,287.53,2.92,2.1408,6.3695,95.8535,0.9805,95.516,4.0394,66.5869,196.84,1.1205,9.2962,2.3312,13.4055,22,12,1,2,10,10,96.3205,0.0833,0.1667,0.8333,16.6667,7,6,W,1.2046,2.5993,2.5993,0.9367,1.2183,4.4179,3.4222,2.9987,1.3283,3.111,3.0616,1.3851,0.4654,1.7729,1.8603,1.4052,1.9994,3.4777,3.2359,0.3306,-3,1.0212,2.4587,1.2221,-0.7528,0.0533,2.7434,2.4873,1.2914,3.0792,-1.0301,-2,-0.0238,0.3694,1.0004,1.9838,0.0043,0.9957,0.8041,2.1427,1.8234,0.9688,1.1276,1.0004,-0.1249,0.4165,402.7732,2.6051,0
256,18.71,540,220,23.17,16.81,270.43,16.38,-1,20.6217,1297.603,3.5,2,4.5,17.3371,20.6217,978.4368,935.4127,448.8334,22041.4943,11.7862,1870.1025,69.7492,43.0241,32.62,0.754,0,254.05,6.36,2.5009,6.057,90.6704,2.3746,86.5475,11.5152,80.0376,174.52,1.046,22.7416,2.18,9.6599,21,12,0,3,9,11,101.2882,0.001,0.25,0.9167,25,7,5,W,0.0443,0.0278,0.0278,1.019,1.2723,4.3432,3.2719,2.7324,1.239,2.9905,2.971,1.3143,0.8035,1.7452,1.8248,1.3649,1.9762,3.4788,3.1131,0.3981,-3,1.0212,2.4049,1.3981,-0.585,0.0237,2.6521,2.4321,1.2143,2.3424,-1.9586,-2,0.0124,0.3404,0.9547,2.0056,-2,1.0714,0.7823,1.6338,1.9033,1.357,0.9854,1.0418,-0.1226,-1.4225,628.5586,2.7983,0
257,16.05,383,1480,26.78,21.5,214.88,7.11,3,25.1157,1240.028,7.5,3,4.5,20.1088,25.1157,1432.1737,1229.9334,254.1215,14683.977,4.9847,2945.8013,60.5088,202.2403,-13.4164,1.155,0,207.77,5.28,2.0794,3.3088,92.6442,1.8814,81.0565,7.4908,78.44,373.93,1.1644,7.0815,5.6358,12.4743,16,12,1,6,6,10,114.8097,0.0833,0.5,0.8333,50,7,6,W,0.4381,2.652,2.652,0.9367,1.2057,4.1668,3.4692,2.5832,1.3034,3.156,3.0899,1.3999,0.7226,1.779,1.8543,1.4278,1.9852,3.4782,3.0934,0.3179,-3,1.0212,2.3176,1.6991,-0.2924,0.0698,2.4051,2.3322,0.8519,3.1703,-1.0301,-2,-0.0238,0.7517,0.7789,2.06,0.0043,0.6976,0.5197,2.3059,1.8945,0.8507,1.0964,1.0004,0.0626,0.4252,2035.073,3.3086,0
258,20.75,1856,797,24.5,19.11,229.11,28.96,1,22.4028,1444.244,5.5,2,4.5,18.6639,22.4028,1112.1472,1112.1472,498.8799,27715.0454,11.1195,2492.4667,66.3638,0,29.8609,0.7701,0,200.15,5.39,1.9036,12.6402,92.2446,1.999,69.2486,8.9231,57.5376,306.1306,1,1112.1472,2.2293,4.4954,27,12,0,0,12,12,247.3975,0.001,0,1,0,8,6,W,0.0342,0.0233,0.0233,1.019,1.3172,4.4427,3.3966,3.2686,1.271,3.0462,3.0462,1.3503,0.7316,1.7589,1.8395,1.3892,1.9834,3.4784,3.1596,0.2796,-3,1.0212,2.3014,-2,-2,0.0043,2.698,2.36,1.4618,2.9015,-1.9586,-2,0.0124,0.3501,1.0795,2.3934,-2,1.0461,1.1018,-2,1.76,3.0462,0.6537,1.0795,-0.1135,-1.4776,412.8638,2.6158,0
259,12.32,312,35,25.28,20.78,327.66,44.2,3,23.4444,1656.334,7.5,3,4.5,19.7778,23.4444,1200.7485,1027.2131,649.2496,24805.1326,11.3549,2184.5224,64.022,173.5354,37.9418,0.7249,0,283.46,4.5,2.3739,13.4896,93.597,1.7768,86.255,7.5789,62.4911,174.52,1.1689,6.9193,1.8494,15.1103,21,12,1,4,8,8,79.4656,0.0833,0.3333,0.6667,33.3333,7,6,W,0.433,2.5341,2.5341,0.9367,1.091,4.3945,3.3394,2.4942,1.2962,3.0795,3.0117,1.37,0.6532,1.7667,1.8499,1.4028,1.9894,3.4782,3.2191,0.3755,-3,1.0212,2.4525,1.523,-0.4643,0.0715,2.8124,2.5154,1.6454,1.5442,-1.0301,-2,-0.0238,0.2694,0.9036,1.9002,0.0043,1.0552,1.13,2.2394,1.7958,0.8407,1.1796,0.9036,-0.1397,0.4055,560.7951,2.7488,0
